ID	,	ALTX	,	ALARM_TEXT_KOREA	,	ALARM_TEXT_CHINA	,	ALARM_TEXT_ENGLISH	,	ALARM_TEXT_VIETNAM	,	ALARM_ACTION_TEXT_KOREA	,	ALARM_ACTION_TEXT_CHINA	,	ALARM_ACTION_TEXT_ENGLIST	,	ALARM_ACTION_TEXT_VIETNAM	,	LEVEL	,	UNIT	,	BOX_TYPE	,	BOX_RECTANGLE_X	,	BOX_RECTANGLE_Y	,	BOX_RECTANGLE_WIDTH	,	BOX_RECTANGLE_HEIGHT
10000	,	EM_UPPER_EQUIPMENT_N_EMERGENCY_STATE	,	상류설비에서 EMERGENCY가 발생했습니다	,	UPPER_EQUIPMENT_EMERGENCY_SIGNAL_ON	,	UPPER_EQUIPMENT_EMERGENCY_SIGNAL_ON	,	UPPER_EQUIPMENT_EMERGENCY_SIGNAL_ON	,	전 공정 설비 상태 확인해주세요.	,	CHECK THE STATUS OF THE UPPER EQUIPMENT.	,	CHECK THE STATUS OF THE UPPER EQUIPMENT.	,	Hãy kiểm tra tình trạng thiết bị ở công đoạn trước 	,	HEAVY	,	LOAD_EQ_TO_EQ	,	SQUARE	,	0.01605137	,	0.02994792	,	0.04815409	,	0.9401042
10001	,	EM_UPPER_EQUIPMENT_DOOR_OPEN	,	상류설비에 DOOR가 열렸습니다	,	UPPER_EQUIPMENT_DOOR_OPEN	,	UPPER_EQUIPMENT_DOOR_OPEN	,	UPPER_EQUIPMENT_DOOR_OPEN	,	전 공정 설비 상태 확인해주세요.	,	CHECK THE STATUS OF THE UPPER EQUIPMENT.	,	CHECK THE STATUS OF THE UPPER EQUIPMENT.	,	Hãy kiểm tra tình trạng thiết bị ở công đoạn trước 	,	LIGHT	,	LOAD_EQ_TO_EQ	,	SQUARE	,	0.01605137	,	0.02994792	,	0.04815409	,	0.9401042
10500	,	MO_IN_SHUTTLE_X1_HOME_MOTION	,	IN셔틀 X1축이 홈 동작 진행에 실패 했습니다	,	IN_SHUTTLE_X1_AXIS_HOME_MOTION_FAILED	,	IN_SHUTTLE_X1_AXIS_HOME_MOTION_FAILED	,	IN_SHUTTLE trục X1 HOME không hoạt động 	,	IN셔틀 X1축 드라이버 상태 확인 후 홈 동작을 수행하세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS AND THEN HOME OPERATION.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS AND THEN HOME OPERATION.	,	Sau khi kiểm tra tình trạng  DRIVER trục X1 -  IN SHUTTLE hãy tiến hành chạy HOME .	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10501	,	MO_IN_SHUTTLE_X1_LOAD_MOVE	,	IN셔틀 X1축 로드 위치 이동에 실패 했습니다 (상류설비 위치)	,	IN_SHUTTLE_X1_AXIS_LOAD_POSITION_MOVE_FAILED (UPPER-EQUIPMENT POSITION)	,	IN_SHUTTLE_X1_AXIS_LOAD_POSITION_MOVE_FAILED (UPPER-EQUIPMENT POSITION)	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí LOAD (UPPER-EQUIPMENT POSITION)	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10502	,	MO_IN_SHUTTLE_X1_SCAN_START_WAIT_MOVE	,	IN셔틀 X1축 스캔 시작 대기 위치 이동에 실패 했습니다	,	IN_SHUTTLE_X1_AXIS_SCAN_START_WAIT_POSITION_MOVE_FAILED	,	IN_SHUTTLE_X1_AXIS_SCAN_START_WAIT_POSITION_MOVE_FAILED	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí SCAN START WAIT	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10503	,	MO_IN_SHUTTLE_X1_SCAN_TRIGGER_START_MOVE	,	IN셔틀 X1축 스캔 트리거 시작 위치 이동에 실패 했습니다	,	IN_SHUTTLE_X1_AXIS_SCAN_TRIGGER_START_POSITION_MOVE_FAILED	,	IN_SHUTTLE_X1_AXIS_SCAN_TRIGGER_START_POSITION_MOVE_FAILED	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí SCAN TRIGGER START	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10504	,	MO_IN_SHUTTLE_X1_SCAN_TRIGGER_END_MOVE	,	IN셔틀 X1축 스캔 트리거 종료 위치 이동에 실패 했습니다	,	IN_SHUTTLE_X1_AXIS_SCAN_TRIGGER_END_POSITION_MOVE_FAILED	,	IN_SHUTTLE_X1_AXIS_SCAN_TRIGGER_END_POSITION_MOVE_FAILED	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí SCAN TRIGGER END	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10505	,	MO_IN_SHUTTLE_X1_ALIGN_MOVE	,	IN셔틀 X1축 얼라인 위치 이동에 실패 했습니다	,	IN_SHUTTLE_X1_AXIS_ALIGN_POSITION_MOVE_FAILED	,	IN_SHUTTLE_X1_AXIS_ALIGN_POSITION_MOVE_FAILED	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí ALIGN	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10506	,	MO_IN_SHUTTLE_X1_UNLOAD_MOVE	,	IN셔틀 X1축 언로드 위치 이동에 실패 했습니다 (IN로봇 위치)	,	IN_SHUTTLE_X1_AXIS_UNLOAD_POSITION_MOVE_FAILED (IN-ROBOT POSITION)	,	IN_SHUTTLE_X1_AXIS_UNLOAD_POSITION_MOVE_FAILED (IN-ROBOT POSITION)	,	IN_SHUTTLE trục X1 không thể di chuyển vị trí UNLOAD (IN-ROBOT POSITION)	,	IN셔틀 X1축 드라이버 상태 확인해주세요.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	CHECK THE DRIVER STATUS OF THE IN SHUTTLE X1 AXIS.	,	Hãy kiểm tra DRIVER  trục X1 - IN SHUTTLE.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.0176565	,	0.453125	,	0.5184591	,	0.1315104
10600	,	VC_IN_SHUTTLE_P1_VACUUM	,	IN셔틀 P1 진공 흡착에 실패 했습니다	,	IN_SHUTTLE_P1_VACUUM_FAILED	,	IN_SHUTTLE_P1_VACUUM_FAILED	,	IN_SHUTTLE_P1_VACUUM_FAILED	,	IN셔틀 P1 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10601	,	VC_IN_SHUTTLE_P1_BLOW	,	IN셔틀 P1 진공 파기에 실패 했습니다	,	IN_SHUTTLE_P1_BLOW_FAILED	,	IN_SHUTTLE_P1_BLOW_FAILED	,	IN_SHUTTLE_P1_BLOW_FAILED	,	IN셔틀 P1 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10602	,	SE_IN_SHUTTLE_P1_VACUUM_CHECK	,	IN셔틀 P1 셀 확인에 실패 했습니다 (진공)	,	IN_SHUTTLE_P1_CELL_VACUUM_CHECK_FAILED	,	IN_SHUTTLE_P1_CELL_VACUUM_CHECK_FAILED	,	IN_SHUTTLE_P1_CELL_VACUUM_CHECK_FAILED	,	IN셔틀 P1 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10603	,	SE_IN_SHUTTLE_P1_SENSOR_CHECK	,	IN셔틀 P1 셀 확인에 실패 했습니다 (센서)	,	IN_SHUTTLE_P1_CELL_SENSOR_CHECK_FAILED	,	IN_SHUTTLE_P1_CELL_SENSOR_CHECK_FAILED	,	IN_SHUTTLE_P1_CELL_SENSOR_CHECK_FAILED	,	IN셔틀 P1 패널 상태를 확인해주세요.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10604	,	SE_IN_SHUTTLE_P1_VACUUM_OVERLAP	,	IN셔틀 P1 셀 겹침 확인되었습니다 (진공)	,	IN_SHUTTLE_P1_CELL_VACUUM_OVERLAP_FAILED	,	IN_SHUTTLE_P1_CELL_VACUUM_OVERLAP_FAILED	,	IN_SHUTTLE_P1_CELL_VACUUM_OVERLAP_FAILED	,	IN셔틀 P1 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10605	,	SE_IN_SHUTTLE_P1_SENSOR_OVERLAP	,	IN셔틀 P1 셀 겹침 확인되었습니다 (센서)	,	IN_SHUTTLE_P1_CELL_SENSOR_OVERLAP_FAILED	,	IN_SHUTTLE_P1_CELL_SENSOR_OVERLAP_FAILED	,	IN_SHUTTLE_P1_CELL_SENSOR_OVERLAP_FAILED	,	IN셔틀 P1 패널 상태를 확인해주세요.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P1.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.1284109	,	0.4505208	,	0.09149278	,	0.1132813
10610	,	VC_IN_SHUTTLE_P2_VACUUM	,	IN셔틀 P2 진공 흡착에 실패 했습니다	,	IN_SHUTTLE_P2_VACUUM_FAILED	,	IN_SHUTTLE_P2_VACUUM_FAILED	,	IN_SHUTTLE_P2_VACUUM_FAILED	,	IN셔틀 P2 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
10611	,	VC_IN_SHUTTLE_P2_BLOW	,	IN셔틀 P2 진공 파기에 실패 했습니다	,	IN_SHUTTLE_P2_BLOW_FAILED	,	IN_SHUTTLE_P2_BLOW_FAILED	,	IN_SHUTTLE_P2_BLOW_FAILED	,	IN셔틀 P2 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
10612	,	SE_IN_SHUTTLE_P2_VACUUM_CHECK	,	IN셔틀 P2 셀 확인에 실패 했습니다 (진공)	,	IN_SHUTTLE_P2_CELL_VACUUM_CHECK_FAILED	,	IN_SHUTTLE_P2_CELL_VACUUM_CHECK_FAILED	,	IN_SHUTTLE_P2_CELL_VACUUM_CHECK_FAILED	,	IN셔틀 P2 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
10613	,	SE_IN_SHUTTLE_P2_SENSOR_CHECK	,	IN셔틀 P2 셀 확인에 실패 했습니다 (센서)	,	IN_SHUTTLE_P2_CELL_SENSOR_CHECK_FAILED	,	IN_SHUTTLE_P2_CELL_SENSOR_CHECK_FAILED	,	IN_SHUTTLE_P2_CELL_SENSOR_CHECK_FAILED	,	IN셔틀 P2 패널 상태를 확인해주세요.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	CHECK THE PANNEL STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
10614	,	SE_IN_SHUTTLE_P2_VACUUM_OVERLAP	,	IN셔틀 P2 셀 겹침 확인되었습니다 (진공)	,	IN_SHUTTLE_P2_CELL_VACUUM_OVERLAP_FAILED	,	IN_SHUTTLE_P2_CELL_VACUUM_OVERLAP_FAILED	,	IN_SHUTTLE_P2_CELL_VACUUM_OVERLAP_FAILED	,	IN셔틀 P2 진공 상태를 확인해주세요.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	CHECK THE VACUUM STATUS OF THE IN SHUTTLE P2.	,	HEAVY	,	IN_SHUTTLE	,	SQUARE	,	0.02086677	,	0.4466146	,	0.09470305	,	0.1171875
